"REF_DATE","GEO","Alternative measures","UOM","SCALAR_FACTOR","VALUE"
"2012-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2012-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2012-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2012-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2013-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2013-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2013-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2013-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2013-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2013-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2013-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2013-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2013-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2013-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2013-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1
"2013-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2014-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2014-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2014-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"2014-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"2014-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"2014-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2014-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2014-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"2014-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2014-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2014-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2014-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2015-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2015-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2015-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2015-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2015-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2015-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2015-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2015-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2015-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2015-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2015-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2015-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2016-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2016-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2016-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2016-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2016-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2016-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2016-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2016-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2016-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2016-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"2016-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2016-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2017-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2017-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2017-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.1
"2017-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.1
"2017-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1
"2017-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.1
"2017-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2017-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
"2017-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2017-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2017-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"2017-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2018-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2018-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2018-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2018-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2018-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2018-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2018-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2018-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2018-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2018-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2018-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2018-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2019-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2019-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2019-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2019-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2019-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2019-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2019-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
"2019-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2019-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"2019-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"2019-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.5
"2019-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"2020-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.3
"2020-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2020-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2020-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2020-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"2020-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2020-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"2020-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2020-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.4
"2020-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2020-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2020-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2021-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2021-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.5
"2021-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2021-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2021-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.6
"2021-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.6
"2021-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.8
"2021-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3
"2021-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.1
"2021-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3
"2021-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.2
"2021-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.3
"2022-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.7
"2022-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"2022-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.6
"2022-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",5
"2022-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",5.6
"2022-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",5.7
"2022-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",6
"2022-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",5.9
"2022-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",6
"2022-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",6
"2022-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",6.3
"2022-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",6.2
"2023-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",6.2
"2023-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",6.1
"2023-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",5.8
"2023-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",5.6
"2023-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",5.2
"2023-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",5.1
"2023-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.8
"2023-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.8
"2023-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.4
