"REF_DATE","GEO","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","SCALAR_FACTOR","VALUE"
"1976-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1029.7
"1976-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1041.6
"1976-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1047.6
"1976-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1048.6
"1976-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1048.3
"1976-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1053
"1976-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1068.1
"1976-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1077.5
"1976-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1073.3
"1976-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1081.2
"1976-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1083.4
"1976-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1084.1
"1977-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1085.2
"1977-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1084.9
"1977-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1080.1
"1977-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1076.6
"1977-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1095.9
"1977-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1089
"1977-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1097.3
"1977-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1092.2
"1977-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1094.5
"1977-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1087.1
"1977-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1093.6
"1977-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1099.6
"1978-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1107.8
"1978-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1115
"1978-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1123.2
"1978-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1131.4
"1978-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1133
"1978-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1139.4
"1978-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1143.2
"1978-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1145.7
"1978-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1155.6
"1978-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1154.8
"1978-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1153.1
"1978-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1156.6
"1979-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1162.1
"1979-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1155.1
"1979-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1170.4
"1979-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1169.6
"1979-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1176
"1979-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1182.2
"1979-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1190.8
"1979-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1204.9
"1979-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1196.6
"1979-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1211.9
"1979-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1219.9
"1979-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1222.9
"1980-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1222.5
"1980-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1240.6
"1980-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1239.7
"1980-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1254
"1980-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1255.2
"1980-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1262.2
"1980-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1264.2
"1980-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1278.4
"1980-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1279.2
"1980-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1289.4
"1980-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1304.4
"1980-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1301.5
"1981-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1322.8
"1981-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1316.7
"1981-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1320.3
"1981-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1321.3
"1981-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1323.6
"1981-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1330.6
"1981-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1322.3
"1981-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1317
"1981-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1316.9
"1981-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1319.1
"1981-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1318.2
"1981-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1310.6
"1982-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1297.7
"1982-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1292.1
"1982-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1290.9
"1982-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1276.2
"1982-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1272.8
"1982-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1249.3
"1982-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1236.1
"1982-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1235.6
"1982-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1227.1
"1982-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1224.9
"1982-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1221.3
"1982-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1225.2
"1983-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1228.5
"1983-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1237.5
"1983-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1241.1
"1983-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1257.8
"1983-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1239.2
"1983-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1251.2
"1983-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1250.7
"1983-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1246
"1983-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1252.9
"1983-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1247.7
"1983-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1242.9
"1983-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1247.9
"1984-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1243.1
"1984-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1239.5
"1984-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1229.6
"1984-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1234.1
"1984-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1233.7
"1984-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1232.5
"1984-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1245.4
"1984-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1244.8
"1984-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1259.9
"1984-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1255.8
