"REF_DATE","GEO","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","SCALAR_FACTOR","VALUE"
"1984-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1265.7
"1984-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1254.6
"1985-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1267.6
"1985-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1265.5
"1985-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1272
"1985-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1265.6
"1985-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1277.1
"1985-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1266.5
"1985-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1276.4
"1985-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1284.4
"1985-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1291.2
"1985-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1290.2
"1985-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1293.3
"1985-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1302.7
"1986-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1307.5
"1986-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1312.2
"1986-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1313.9
"1986-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1326.4
"1986-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1332.3
"1986-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1340.2
"1986-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1348.6
"1986-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1347.6
"1986-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1347.2
"1986-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1337.6
"1986-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1333.6
"1986-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1330.2
"1987-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1328.6
"1987-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1346.2
"1987-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1349.1
"1987-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1360.4
"1987-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1377.4
"1987-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1384.6
"1987-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1374
"1987-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1387.7
"1987-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1393.7
"1987-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1403.3
"1987-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1408.3
"1987-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1420.3
"1988-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1424.4
"1988-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1418.1
"1988-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1427.3
"1988-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1432.7
"1988-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1426.4
"1988-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1429.8
"1988-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1439.3
"1988-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1442.7
"1988-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1432.4
"1988-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1443.9
"1988-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1448.9
"1988-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1452.6
"1989-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1472.3
"1989-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1488.2
"1989-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1491.6
"1989-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1502.1
"1989-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1497.3
"1989-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1507.6
"1989-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1502.1
"1989-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1511.1
"1989-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1518.1
"1989-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1523.8
"1989-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1535.9
"1989-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1543.6
"1990-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1558.4
"1990-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1546.8
"1990-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1547.5
"1990-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1555.7
"1990-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1551.4
"1990-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1550.6
"1990-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1564.3
"1990-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1574.5
"1990-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1572.2
"1990-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1564.3
"1990-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1561.2
"1990-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1557.6
"1991-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1558.7
"1991-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1560.2
"1991-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1559.2
"1991-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1570.6
"1991-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1571.9
"1991-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1583.9
"1991-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1578.9
"1991-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1579.3
"1991-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1589.8
"1991-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1598.1
"1991-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1587.3
"1991-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1584.7
"1992-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1590.6
"1992-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1599.6
"1992-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1604.5
"1992-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1607.2
"1992-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1622
"1992-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1613.2
"1992-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1614
"1992-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1620.5
"1992-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1617.2
"1992-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1628
"1992-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1639.7
"1992-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1649.5
"1993-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1637.3
"1993-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1640.9
"1993-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1642.1
"1993-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1649.3
"1993-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1654.5
"1993-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1663.8
"1993-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1671.7
"1993-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1681.9
"1993-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1684.4
"1993-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1683.9
"1993-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1705.4
"1993-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1703.8
"1994-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1710.4
"1994-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1722.5
"1994-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1723.2
"1994-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1712
"1994-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1737.1
"1994-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1742.7
"1994-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1743.6
"1994-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1748.8
"1994-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1767.5
"1994-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1765.3
"1994-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1777.5
"1994-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1775.1
"1995-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1779.1
"1995-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1768.1
"1995-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1789.4
"1995-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1784.4
"1995-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1782.5
"1995-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1786.3
"1995-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1788
"1995-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1788.5
"1995-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1797.8
"1995-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1795.9
"1995-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1784.4
"1995-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1785.1
"1996-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1790.8
"1996-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1797.7
"1996-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1804.9
"1996-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1812.4
"1996-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1824
"1996-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1817.7
"1996-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1830.6
"1996-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1815.2
"1996-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1807.8
"1996-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1808.8
"1996-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1817.5
"1996-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1830.2
"1997-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1849
"1997-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1843.4
"1997-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1840.8
"1997-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1847.4
"1997-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1855.4
"1997-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1851.1
"1997-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1871.9
"1997-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1876.8
"1997-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1870.3
"1997-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1865.6
"1997-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1876.1
"1997-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1866.7
"1998-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1855
"1998-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1844.7
"1998-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1851.1
"1998-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1854
"1998-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1853.1
"1998-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1853.6
"1998-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1856.1
"1998-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1856.5
"1998-09","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1867.7
"1998-10","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1869.8
"1998-11","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1877.8
"1998-12","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1859.3
"1999-01","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1891.3
"1999-02","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1886.3
"1999-03","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1890.8
"1999-04","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1890.8
"1999-05","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1882.2
"1999-06","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1888.2
"1999-07","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1889.7
"1999-08","British Columbia","Total employed, all industries","Estimate","Seasonally adjusted","Persons","thousands",1897.1
