"REF_DATE","GEO","Type of structure","Type of work","Investment Value","UOM","SCALAR_FACTOR","VALUE"
"2016-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1281305357
"2016-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1327301617
"2016-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1259682247
"2016-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1208861138
"2016-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1163562174
"2016-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1191299935
"2016-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1273125402
"2017-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1228726397
"2017-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1160121522
"2017-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1216605428
"2017-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1259040298
"2017-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1293306131
"2017-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1293949959
"2017-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1324198623
"2017-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1292619381
"2017-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1303215471
"2017-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1341730604
"2017-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1353237660
"2017-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1386560200
"2018-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1412654199
"2018-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1372317343
"2018-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1347073810
"2018-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1322557859
"2018-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1341615316
"2018-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1398640153
"2018-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1405100982
"2018-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1430939990
"2018-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1526517041
"2018-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1550528555
"2018-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1566006054
"2018-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1540914341
"2019-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1515126059
"2019-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1480886078
"2019-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1465031083
"2019-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1664667850
"2019-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",2011372446
"2019-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1887425766
"2019-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1741534543
"2019-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1670879295
"2019-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1598955841
"2019-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1629816667
"2019-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1635316702
"2019-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1588897727
"2020-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1540659256
"2020-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1657950837
"2020-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1707340916
"2020-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1461015016
"2020-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1401096357
"2020-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1470596047
"2020-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1559543018
"2020-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1536824203
"2020-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1500223515
"2020-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1434840742
"2020-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1464326626
"2020-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1500680499
"2021-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1499407550
"2021-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1501334790
"2021-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1525507583
"2021-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1537718915
"2021-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1564017964
"2021-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1566413459
"2021-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1509250341
"2021-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1469563422
"2021-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1431262157
"2021-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1467717184
"2021-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1478423646
"2021-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1505666175
"2022-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1576370146
"2022-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1592926514
"2022-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1615818182
"2022-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1709475062
"2022-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1714423432
"2022-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1784368324
"2022-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1834006070
"2022-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1895447338
"2022-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1958179719
"2022-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",2009880546
"2022-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1945037268
"2022-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1900031247
"2023-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1890051474
"2023-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1855125606
"2023-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1803102162
"2023-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1834160767
"2023-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1798335645
"2023-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1801010672
"2023-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1828066588
"2023-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1803639093
