"REF_DATE","GEO","Type of structure","Type of work","Investment Value","UOM","SCALAR_FACTOR","VALUE"
"2010-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",795594700
"2010-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",805290960
"2010-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",813680925
"2010-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",773128728
"2010-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",759925015
"2010-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",740928419
"2010-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",747352027
"2010-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",791534981
"2010-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",811004845
"2010-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",856713290
"2010-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",902965786
"2010-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",900263429
"2011-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",889839953
"2011-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",882136669
"2011-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",858070532
"2011-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",906907329
"2011-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",958470685
"2011-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",975766053
"2011-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",938417461
"2011-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",883211252
"2011-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",868876473
"2011-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",865951754
"2011-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",820329992
"2011-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",807094032
"2012-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",810223729
"2012-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",825190374
"2012-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",856575023
"2012-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",907722505
"2012-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",910593348
"2012-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",870646550
"2012-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",921698586
"2012-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",977379807
"2012-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",993846917
"2012-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",976259824
"2012-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",943322952
"2012-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",960267425
"2013-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",961736230
"2013-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",945639851
"2013-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",958660156
"2013-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",937631620
"2013-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",897779182
"2013-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1004247324
"2013-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1125548414
"2013-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1018024097
"2013-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",974843317
"2013-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",987336553
"2013-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1013549409
"2013-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1025410107
"2014-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1031790014
"2014-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1096144820
"2014-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1069026769
"2014-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1035543985
"2014-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1000631175
"2014-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",991785951
"2014-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",994249804
"2014-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1014780712
"2014-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1054248184
"2014-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1051923373
"2014-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1053894209
"2014-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1041382839
"2015-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1046348499
"2015-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1049705565
"2015-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1044527221
"2015-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1081541415
"2015-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1122726321
"2015-06","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1144441385
"2015-07","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1185897408
"2015-08","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1233103588
"2015-09","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1220892576
"2015-10","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1171587254
"2015-11","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1202725529
"2015-12","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1250236386
"2016-01","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1278403075
"2016-02","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1288387328
"2016-03","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1315294736
"2016-04","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1328253152
"2016-05","Vancouver, British Columbia","Total residential and non-residential","Types of work, total","Seasonally adjusted - current","Dollars","units",1298011761
